"ID";"REGION_ID";"REGION_CODE";"REGION_NAME";"REGION_ENAME";"REGION_TYPE";"PARENT_REGION_ID";"HOT_CITY";"IS_DELETED";"VERSION";"CREATE_BY";"CREATE_TIME";"UPDATE_BY";"UPDATE_TIME";"STATUS"
"14";"110116";"110116";"怀柔区";"Huai Rou Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"15";"110117";"110117";"平谷区";"Ping Gu Qu ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"16";"110228";"110228";"密云县";"Mi Yun Xian ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"17";"110229";"110229";"延庆县";"Yan Qing Xian ";"10001003";"110100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"18";"120100";"120100";"天津市";"Tian Jin Shi ";"10001002";"120000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"19";"710439";"710439";"和平区";"He Ping Qu ";"10001003";"710400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"20";"371312";"371312";"河东区";"He Dong Qu ";"10001003";"371300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"21";"120103";"120103";"河西区";"He Xi Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"22";"120104";"120104";"南开区";"Nan Kai Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"23";"120105";"120105";"河北区";"He Bei Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"24";"120106";"120106";"红桥区";"Hong Qiao Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"25";"120110";"120110";"东丽区";"Dong Li Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"26";"120111";"120111";"西青区";"Xi Qing Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"27";"120112";"120112";"津南区";"Jin Nan Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"28";"120113";"120113";"北辰区";"Bei Chen Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"29";"120114";"120114";"武清区";"Wu Qing Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"30";"120115";"120115";"宝坻区";"Bao Zuo Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"31";"120116";"120116";"滨海新区";"Bin Hai Xin Qu ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"32";"120221";"120221";"宁河县";"Ning He Xian ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"33";"120223";"120223";"静海县";"Jing Hai Xian ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"34";"120225";"120225";"蓟县";"Ji Xian ";"10001003";"120100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"35";"130000";"130000";"河北省";"He Bei Sheng ";"10001001";"3333";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"36";"130100";"130100";"石家庄市";"Shi Jia Zhuang Shi ";"10001002";"130000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"37";"610116";"610116";"长安区";"Chang An Qu ";"10001003";"610100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"38";"130702";"130702";"桥东区";"Qiao Dong Qu ";"10001003";"130700";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"39";"130703";"130703";"桥西区";"Qiao Xi Qu ";"10001003";"130700";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"40";"410402";"410402";"新华区";"Xin Hua Qu ";"10001003";"410400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"41";"130107";"130107";"井陉矿区";"Jing Zuo Kuang Qu ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"42";"130108";"130108";"裕华区";"Yu Hua Qu ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"43";"130121";"130121";"井陉县";"Jing Zuo Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"44";"130123";"130123";"正定县";"Zheng Ding Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"45";"130124";"130124";"栾城县";"Zuo Cheng Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"46";"130125";"130125";"行唐县";"Xing Tang Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"47";"130126";"130126";"灵寿县";"Ling Shou Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"48";"130127";"130127";"高邑县";"Gao Yi Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"49";"130128";"130128";"深泽县";"Shen Ze Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"50";"130129";"130129";"赞皇县";"Zan Huang Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"51";"130130";"130130";"无极县";"Wu Ji Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"52";"130131";"130131";"平山县";"Ping Shan Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"53";"130132";"130132";"元氏县";"Yuan Shi Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"54";"130133";"130133";"赵县";"Zhao Xian ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"55";"130181";"130181";"辛集市";"Xin Ji Shi ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"56";"130182";"130182";"藁城市";"Zuo Cheng Shi ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"57";"130183";"130183";"晋州市";"Jin Zhou Shi ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"58";"130184";"130184";"新乐市";"Xin Le Shi ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"59";"130185";"130185";"鹿泉市";"Lu Quan Shi ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"60";"130200";"130200";"唐山市";"Tang Shan Shi ";"10001002";"130000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"61";"130202";"130202";"路南区";"Lu Nan Qu ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"62";"130203";"130203";"路北区";"Lu Bei Qu ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"63";"130204";"130204";"古冶区";"Gu Ye Qu ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"64";"130205";"130205";"开平区";"Kai Ping Qu ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"65";"130207";"130207";"丰南区";"Feng Nan Qu ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"66";"130208";"130208";"丰润区";"Feng Run Qu ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"67";"130223";"130223";"滦县";"Luan Xian ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"68";"130224";"130224";"滦南县";"Luan Nan Xian ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"69";"130225";"130225";"乐亭县";"Le Ting Xian ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"70";"130227";"130227";"迁西县";"Qian Xi Xian ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"71";"130229";"130229";"玉田县";"Yu Tian Xian ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"72";"130230";"130230";"曹妃甸区";"Cao Zuo Dian Qu ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"73";"130281";"130281";"遵化市";"Zun Hua Shi ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"74";"130283";"130283";"迁安市";"Qian An Shi ";"10001003";"130200";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"75";"130300";"130300";"秦皇岛市";"Qin Huang Dao Shi ";"10001002";"130000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"76";"130302";"130302";"海港区";"Hai Gang Qu ";"10001003";"130300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"77";"130303";"130303";"山海关区";"Shan Hai Guan Qu ";"10001003";"130300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"78";"130304";"130304";"北戴河区";"Bei Dai He Qu ";"10001003";"130300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"79";"130321";"130321";"青龙满族自治县";"Qing Long Man Zu Zi Zhi Xian ";"10001003";"130300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"80";"130322";"130322";"昌黎县";"Chang Li Xian ";"10001003";"130300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"81";"130323";"130323";"抚宁县";"Fu Ning Xian ";"10001003";"130300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"82";"130324";"130324";"卢龙县";"Lu Long Xian ";"10001003";"130300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"83";"130400";"130400";"邯郸市";"Han Dan Shi ";"10001002";"130000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"84";"130402";"130402";"邯山区";"Han Shan Qu ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"85";"130403";"130403";"丛台区";"Cong Tai Qu ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"86";"130404";"130404";"复兴区";"Fu Xing Qu ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"87";"130406";"130406";"峰峰矿区";"Feng Feng Kuang Qu ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"88";"130421";"130421";"邯郸县";"Han Dan Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"89";"130423";"130423";"临漳县";"Lin Zhang Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"90";"130424";"130424";"成安县";"Cheng An Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"91";"130425";"130425";"大名县";"Da Ming Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"92";"130426";"130426";"涉县";"She Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"93";"130427";"130427";"磁县";"Ci Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"94";"130428";"130428";"肥乡县";"Fei Xiang Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"95";"130429";"130429";"永年县";"Yong Nian Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"96";"130430";"130430";"邱县";"Qiu Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"97";"130431";"130431";"鸡泽县";"Ji Ze Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"98";"130432";"130432";"广平县";"Guang Ping Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"99";"130433";"130433";"馆陶县";"Guan Tao Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"100";"130434";"130434";"魏县";"Wei Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"101";"130435";"130435";"曲周县";"Qu Zhou Xian ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"102";"130481";"130481";"武安市";"Wu An Shi ";"10001003";"130400";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"103";"130500";"130500";"邢台市";"Xing Tai Shi ";"10001002";"130000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"104";"130502";"130702";"桥东区";"Qiao Dong Qu ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"105";"130104";"130104";"桥西区";"Qiao Xi Qu ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"106";"130521";"130521";"邢台县";"Xing Tai Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"107";"130522";"130522";"临城县";"Lin Cheng Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"108";"130523";"130523";"内丘县";"Nei Qiu Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"109";"130524";"130524";"柏乡县";"Bai Xiang Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"110";"130525";"130525";"隆尧县";"Long Yao Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"111";"130526";"130526";"任县";"Ren Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"112";"130527";"130527";"南和县";"Nan He Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"113";"130528";"130528";"宁晋县";"Ning Jin Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"114";"130529";"130529";"巨鹿县";"Ju Lu Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"115";"130530";"130530";"新河县";"Xin He Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"116";"130531";"130531";"广宗县";"Guang Zong Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"117";"130532";"130532";"平乡县";"Ping Xiang Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"118";"130533";"130533";"威县";"Wei Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"119";"130534";"130534";"清河县";"Qing He Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"120";"130535";"130535";"临西县";"Lin Xi Xian ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"121";"130581";"130581";"南宫市";"Nan Gong Shi ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"122";"130582";"130582";"沙河市";"Sha He Shi ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"123";"130600";"130600";"保定市";"Bao Ding Shi ";"10001002";"130000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"124";"710368";"710368";"新市区";"Xin Shi Qu ";"10001003";"710300";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"125";"130603";"130603";"北市区";"Bei Shi Qu ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"126";"130604";"130604";"南市区";"Nan Shi Qu ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"127";"130621";"130621";"满城县";"Man Cheng Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"128";"130622";"130622";"清苑县";"Qing Yuan Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"129";"130623";"130623";"涞水县";"Zuo Shui Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"130";"130624";"130624";"阜平县";"Fu Ping Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"131";"130625";"130625";"徐水县";"Xu Shui Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"132";"130626";"130626";"定兴县";"Ding Xing Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"133";"130627";"130627";"唐县";"Tang Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"134";"130628";"130628";"高阳县";"Gao Yang Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"135";"130629";"130629";"容城县";"Rong Cheng Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"136";"130630";"130630";"涞源县";"Zuo Yuan Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"137";"130631";"130631";"望都县";"Wang Du Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"138";"130632";"130632";"安新县";"An Xin Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"139";"130633";"130633";"易县";"Yi Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"140";"130634";"130634";"曲阳县";"Qu Yang Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"141";"130635";"130635";"蠡县";"Zuo Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"142";"130636";"130636";"顺平县";"Shun Ping Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"143";"130637";"130637";"博野县";"Bo Ye Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"144";"130638";"130638";"雄县";"Xiong Xian ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"145";"130681";"130681";"涿州市";"Zuo Zhou Shi ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"146";"130682";"130682";"定州市";"Ding Zhou Shi ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"147";"130683";"130683";"安国市";"An Guo Shi ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"148";"130684";"130684";"高碑店市";"Gao Bei Dian Shi ";"10001003";"130600";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"149";"130700";"130700";"张家口市";"Zhang Jia Kou Shi ";"10001002";"130000";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"150";"130103";"130103";"桥东区";"Qiao Dong Qu ";"10001003";"130100";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"151";"130503";"130503";"桥西区";"Qiao Xi Qu ";"10001003";"130500";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"152";"130705";"130705";"宣化区";"Xuan Hua Qu ";"10001003";"130700";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"153";"130706";"130706";"下花园区";"Xia Hua Yuan Qu ";"10001003";"130700";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"154";"130721";"130721";"宣化县";"Xuan Hua Xian ";"10001003";"130700";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
"155";"130722";"130722";"张北县";"Zhang Bei Xian ";"10001003";"130700";"1";"N";"1";NULL;"2020-04-27 17:41:08";NULL;"2020-04-27 17:41:08";"10011001"
